工业富联,[4985603.94032991]
中兴通讯,[3613003.755577]
亨通光电,[1011339.56444511]
中天科技,[1002878.45419129]
烽火通信,[865547.86984587]
东山精密,[761909.15220302]
闻泰科技,[594947.74428428]
凯乐科技,[526733.34872018]
*ST信威,[513255.32833408]
航天通信,[426304.33278679]
*ST北讯,[399222.46543645]
长飞光纤,[346687.4324182]
海能达,[340783.39114547]
海格通信,[314242.62998523]
中际旭创,[275674.67184329]
航天发展,[274715.46585298]
通鼎互联,[253318.00149306]
春兴精工,[232693.24413349]
共进股份,[228978.58564308]
合众思壮,[228241.56053998]
高新兴,[213068.4192501]
大富科技,[212566.92700242]
特发信息,[200216.79722968]
日海智能,[187501.51862977]
大唐电信,[186304.46855493]
南京熊猫,[180193.24348529]
四创电子,[175927.23160241]
光迅科技,[174937.9568345]
信维通信,[173461.31092562]
北斗星通,[164825.04107405]
星网锐捷,[164051.19349369]
四川九洲,[150998.87808382]
七一二,[142856.84971031]
金信诺,[139260.00502219]
盛路通信,[136469.41309326]
润建股份,[128735.93490905]
永鼎股份,[126833.03043423]
亿联网络,[124891.8596378]
数码科技,[119811.45095955]
中嘉博创,[119551.96431821]
瑞斯康达,[118553.83739796]
*ST新海,[115771.63034815]
银河电子,[107288.75672858]
东方通信,[104805.35695944]
华讯方舟,[102257.86606975]
雷科防务,[102003.27107851]
鼎信通讯,[93144.2131242]
卓翼科技,[91242.97632521]
东土科技,[88181.95945286]
通宇通讯,[87346.7074999]
国睿科技,[83700.40056694]
贝通信,[83521.80177158]
立昂技术,[81676.8591788]
宜通世纪,[81484.61431983]
佳讯飞鸿,[80797.33133134]
烽火电子,[80794.84838401]
天邑股份,[79260.8337179]
中海达,[77908.79576503]
苏州科达,[76280.13732843]
剑桥科技,[73336.06602216]
光弘科技,[68781.87019722]
国美通讯,[67389.24938017]
富通鑫茂,[67272.89195393]
*ST凡谷,[64837.92736504]
东信和平,[59995.67410348]
超讯通信,[58729.11128024]
华脉科技,[57692.72747019]
辉煌科技,[52540.04975256]
硕贝德,[51801.7150797]
华星创业,[50310.58216086]
同洲电子,[49269.80372046]
上海瀚讯,[47768.09019985]
富春股份,[46614.73688549]
远 望 谷,[46197.69588193]
中通国脉,[43496.73404204]
中国海防,[43130.8724333]
金溢科技,[42274.94368921]
星网宇达,[41460.09132343]
新易盛,[41448.13835751]
中威电子,[40951.33354309]
长江通信,[40242.31461573]
天和防务,[39582.41578823]
华测导航,[39479.26135256]
瀛通通讯,[39140.79120531]
华平股份,[38384.16765315]
振芯科技,[37261.07408098]
天孚通信,[36488.30680391]
会畅通讯,[36405.90483049]
纵横通信,[32627.59645296]
盛洋科技,[30915.10389646]
润欣科技,[30871.33090556]
移为通信,[30766.46223284]
吉大通信,[30645.02179746]
广和通,[30228.78345792]
高斯贝尔,[28925.74183873]
波导股份,[28640.95795198]
科信技术,[27635.79223015]
迪威迅,[25462.81669616]
中富通,[25324.47231563]
淳中科技,[25305.22644897]
友讯达,[24641.92686617]
路通视信,[24154.79913122]
美格智能,[23694.58480787]
奥维通信,[23199.60534989]
万隆光电,[23166.2550124]
邦讯技术,[19819.15426263]
广哈通信,[19816.92765716]
佳创视讯,[18686.65954696]
万马科技,[17699.1503072]
神宇股份,[17558.96409111]
汇源通信,[15974.56713687]
亿通科技,[14406.83991795]
百邦科技,[13238.0278189]
金亚科技,[7386.24225765]
